window_index,out_batch_id,true_in_batch_id,correct_batch_prob,correct_batch_is_highest,anonymity_set_size,anonymity_set,n_clients,batch_size,batch_prob,sim_timestamp,utc_timestamp
1,0,26,0.3,True,8,"{4, 9, 12, 14, 22, 24, 25, 26}",30,4,"{24: 0.1, 26: 0.3, 22: 0.1, 9: 0.1, 25: 0.1, 12: 0.1, 4: 0.1, 14: 0.1}",0.13474920711769173,1760097791
2,1,9,0.07964601769911504,False,10,"{4, 5, 9, 12, 14, 19, 22, 24, 25, 26}",30,4,"{24: 0.07964601769911504, 26: 0.18584070796460178, 22: 0.07964601769911504, 9: 0.07964601769911504, 25: 0.07964601769911504, 12: 0.07964601769911504, 4: 0.1592920353982301, 14: 0.07964601769911504, 19: 0.08849557522123894, 5: 0.08849557522123894}",0.23115628022284612,1760097791
2,0,26,0.26548672566371684,True,8,"{4, 9, 12, 14, 22, 24, 25, 26}",30,4,"{12: 0.10619469026548672, 4: 0.09734513274336283, 22: 0.10619469026548672, 24: 0.10619469026548672, 14: 0.10619469026548672, 9: 0.10619469026548672, 25: 0.10619469026548672, 26: 0.26548672566371684}",0.23115628022284612,1760097791
3,2,22,0.06340454858718125,False,13,"{1, 4, 5, 9, 10, 12, 14, 19, 21, 22, 24, 25, 26}",30,4,"{24: 0.06340454858718125, 26: 0.12818745692625774, 22: 0.06340454858718125, 9: 0.06340454858718125, 25: 0.06340454858718125, 12: 0.06340454858718125, 4: 0.11578221915920055, 14: 0.06340454858718125, 19: 0.0709855272226051, 5: 0.0709855272226051, 21: 0.07787732598208132, 1: 0.07787732598208132, 10: 0.07787732598208132}",0.3231373996839228,1760097791
3,0,26,0.2439696760854583,True,8,"{4, 9, 12, 14, 22, 24, 25, 26}",30,4,"{4: 0.09441764300482426, 22: 0.11026878015161957, 24: 0.11026878015161957, 14: 0.11026878015161957, 9: 0.11026878015161957, 25: 0.11026878015161957, 12: 0.11026878015161957, 26: 0.2439696760854583}",0.3231373996839228,1760097791
3,1,9,0.08201240523776705,False,10,"{4, 5, 9, 12, 14, 19, 22, 24, 25, 26}",30,4,"{12: 0.08201240523776705, 4: 0.15299793246037216, 22: 0.08201240523776705, 5: 0.09166092350103378, 24: 0.08201240523776705, 19: 0.09166092350103378, 14: 0.08201240523776705, 9: 0.08201240523776705, 25: 0.08201240523776705, 26: 0.17160578911095797}",0.3231373996839228,1760097791
4,3,4,0.08959131235758956,False,14,"{1, 4, 5, 9, 10, 12, 14, 19, 20, 21, 22, 24, 25, 26}",30,4,"{24: 0.05235855917001988, 26: 0.09628157269598099, 22: 0.05235855917001988, 9: 0.05235855917001988, 25: 0.05235855917001988, 12: 0.10471711834003976, 4: 0.08959131235758956, 14: 0.05235855917001988, 19: 0.05890337906627236, 5: 0.05890337906627236, 21: 0.06486643719396908, 1: 0.06486643719396908, 10: 0.12973287438793815, 20: 0.0703446938478693}",0.3530787430906727,1760097791
4,0,26,0.23023221990594853,True,8,"{4, 9, 12, 14, 22, 24, 25, 26}",30,4,"{4: 0.0924516410529888, 22: 0.11397682648955253, 24: 0.11397682648955253, 14: 0.11397682648955253, 9: 0.11397682648955253, 25: 0.11397682648955253, 12: 0.10743200659330004, 26: 0.23023221990594853}",0.3530787430906727,1760097791
4,1,9,0.08416153585106899,False,10,"{4, 5, 9, 12, 14, 19, 22, 24, 25, 26}",30,4,"{12: 0.07945896155524312, 4: 0.14864013186600086, 22: 0.08416153585106899, 24: 0.08416153585106899, 19: 0.09453628739031367, 14: 0.08416153585106899, 9: 0.08416153585106899, 25: 0.08416153585106899, 26: 0.16202065254278372, 5: 0.09453628739031367}",0.3530787430906727,1760097791
4,2,22,0.06481795704658942,False,13,"{1, 4, 5, 9, 10, 12, 14, 19, 21, 22, 24, 25, 26}",30,4,"{26: 0.12115188830174044, 12: 0.061278906287875114, 4: 0.11228002133126484, 22: 0.06481795704658942, 21: 0.08028312406069714, 24: 0.06481795704658942, 19: 0.07291414165899064, 14: 0.06481795704658942, 10: 0.07480486740679691, 1: 0.08028312406069714, 9: 0.06481795704658942, 25: 0.06481795704658942, 5: 0.07291414165899064}",0.3530787430906727,1760097791
