window_index,out_batch_id,true_in_batch_id,correct_batch_prob,correct_batch_is_highest,anonymity_set_size,anonymity_set,n_clients,batch_size,batch_prob,sim_timestamp,utc_timestamp
1,0,8,0.16666666666666666,True,13,"{2, 7, 8, 9, 12, 13, 16, 19, 20, 21, 22, 26, 30}",30,3,"{9: 0.05555555555555555, 13: 0.1111111111111111, 8: 0.16666666666666666, 7: 0.05555555555555555, 21: 0.1111111111111111, 22: 0.05555555555555555, 19: 0.1111111111111111, 16: 0.05555555555555555, 20: 0.05555555555555555, 30: 0.05555555555555555, 12: 0.05555555555555555, 26: 0.05555555555555555, 2: 0.05555555555555555}",0.5074200490188845,1761142251
2,1,21,0.10884353741496598,False,13,"{2, 7, 8, 9, 12, 13, 16, 19, 20, 21, 22, 26, 30}",30,3,"{9: 0.05782312925170068, 13: 0.10884353741496598, 8: 0.15306122448979592, 7: 0.05782312925170068, 21: 0.10884353741496598, 22: 0.05782312925170068, 19: 0.10884353741496598, 16: 0.05782312925170068, 20: 0.05782312925170068, 30: 0.05782312925170068, 12: 0.05782312925170068, 26: 0.05782312925170068, 2: 0.05782312925170068}",0.552394887676978,1761142251
2,0,8,0.15306122448979592,True,13,"{2, 7, 8, 9, 12, 13, 16, 19, 20, 21, 22, 26, 30}",30,3,"{21: 0.10884353741496598, 8: 0.15306122448979592, 19: 0.10884353741496598, 20: 0.05782312925170068, 7: 0.05782312925170068, 2: 0.05782312925170068, 22: 0.05782312925170068, 16: 0.05782312925170068, 30: 0.05782312925170068, 12: 0.05782312925170068, 9: 0.05782312925170068, 26: 0.05782312925170068, 13: 0.10884353741496598}",0.552394887676978,1761142251
3,2,20,0.048327137546468404,False,15,"{1, 2, 7, 8, 9, 12, 13, 16, 19, 20, 21, 22, 25, 26, 30}",30,3,"{9: 0.048327137546468404, 13: 0.12825278810408922, 8: 0.1137546468401487, 7: 0.048327137546468404, 21: 0.08550185873605948, 22: 0.048327137546468404, 19: 0.12825278810408922, 16: 0.048327137546468404, 20: 0.048327137546468404, 30: 0.048327137546468404, 12: 0.048327137546468404, 26: 0.048327137546468404, 2: 0.048327137546468404, 1: 0.05464684014869888, 25: 0.05464684014869888}",0.6502011525191215,1761142251
3,0,8,0.1449814126394052,True,13,"{2, 7, 8, 9, 12, 13, 16, 19, 20, 21, 22, 26, 30}",30,3,"{21: 0.10780669144981413, 8: 0.1449814126394052, 20: 0.06022304832713755, 7: 0.06022304832713755, 2: 0.06022304832713755, 22: 0.06022304832713755, 16: 0.06022304832713755, 30: 0.06022304832713755, 12: 0.06022304832713755, 9: 0.06022304832713755, 26: 0.06022304832713755, 13: 0.10260223048327137, 19: 0.10260223048327137}",0.6502011525191215,1761142251
3,1,21,0.10780669144981413,False,13,"{2, 7, 8, 9, 12, 13, 16, 19, 20, 21, 22, 26, 30}",30,3,"{13: 0.10260223048327137, 21: 0.10780669144981413, 8: 0.1449814126394052, 20: 0.06022304832713755, 7: 0.06022304832713755, 2: 0.06022304832713755, 22: 0.06022304832713755, 16: 0.06022304832713755, 30: 0.06022304832713755, 12: 0.06022304832713755, 9: 0.06022304832713755, 26: 0.06022304832713755, 19: 0.10260223048327137}",0.6502011525191215,1761142251
4,1,21,0.12414383561643835,False,5,"{8, 9, 13, 19, 21}",30,3,"{9: 0.06934931506849315, 13: 0.2363013698630137, 8: 0.3339041095890411, 21: 0.12414383561643835, 19: 0.2363013698630137}",0.6823022758321917,1761142251
4,0,8,0.11558219178082192,True,13,"{2, 7, 8, 9, 12, 13, 16, 19, 20, 21, 22, 26, 30}",30,3,"{21: 0.11001712328767123, 8: 0.11558219178082192, 20: 0.0663527397260274, 7: 0.0663527397260274, 2: 0.0663527397260274, 22: 0.0663527397260274, 16: 0.0663527397260274, 30: 0.0663527397260274, 12: 0.0663527397260274, 9: 0.062071917808219176, 26: 0.0663527397260274, 19: 0.09075342465753425, 13: 0.09075342465753425}",0.6823022758321917,1761142251
4,2,20,0.05351027397260274,False,15,"{1, 2, 7, 8, 9, 12, 13, 16, 19, 20, 21, 22, 25, 26, 30}",30,3,"{19: 0.11365582191780822, 20: 0.05351027397260274, 25: 0.057148972602739725, 12: 0.05351027397260274, 26: 0.05351027397260274, 21: 0.0877568493150685, 8: 0.09246575342465753, 7: 0.05351027397260274, 22: 0.05351027397260274, 9: 0.05008561643835616, 2: 0.05351027397260274, 16: 0.05351027397260274, 1: 0.057148972602739725, 30: 0.05351027397260274, 13: 0.11365582191780822}",0.6823022758321917,1761142251
5,3,26,0.052861623900858745,False,15,"{1, 2, 7, 8, 9, 12, 13, 16, 19, 20, 21, 22, 25, 26, 30}",30,3,"{9: 0.09831850671054661, 13: 0.10077389828765362, 8: 0.08253201007867537, 7: 0.052861623900858745, 21: 0.08145215200287963, 22: 0.052861623900858745, 19: 0.10077389828765362, 16: 0.052861623900858745, 20: 0.052861623900858745, 30: 0.052861623900858745, 12: 0.052861623900858745, 26: 0.052861623900858745, 2: 0.052861623900858745, 1: 0.0566282717128606, 25: 0.0566282717128606}",0.7287861316734758,1761142252
